as_of_date,case per 100k population,clinicalstatus,vaccination_status,dateStatusKey
1-Jun-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/1/2022|Deceased (based on date of death)
2-Jun-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/2/2022|Deceased (based on date of death)
3-Jun-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/3/2022|Deceased (based on date of death)
4-Jun-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/4/2022|Deceased (based on date of death)
5-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/5/2022|Deceased (based on date of death)
6-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/6/2022|Deceased (based on date of death)
7-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/7/2022|Deceased (based on date of death)
8-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/8/2022|Deceased (based on date of death)
9-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/9/2022|Deceased (based on date of death)
10-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/10/2022|Deceased (based on date of death)
11-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/11/2022|Deceased (based on date of death)
12-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/12/2022|Deceased (based on date of death)
13-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/13/2022|Deceased (based on date of death)
14-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/14/2022|Deceased (based on date of death)
15-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/15/2022|Deceased (based on date of death)
16-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/16/2022|Deceased (based on date of death)
17-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/17/2022|Deceased (based on date of death)
18-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/18/2022|Deceased (based on date of death)
19-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/19/2022|Deceased (based on date of death)
24-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/24/2022|ICU
25-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/25/2022|ICU
26-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/26/2022|ICU
27-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/27/2022|ICU
28-May-22,0.17,ICU,Fully Vaccinated (Without Booster),05/28/2022|ICU
29-May-22,0.19,ICU,Fully Vaccinated (Without Booster),05/29/2022|ICU
30-May-22,0.2,ICU,Fully Vaccinated (Without Booster),05/30/2022|ICU
31-May-22,0.21,ICU,Fully Vaccinated (Without Booster),05/31/2022|ICU
1-Jun-22,0.21,ICU,Fully Vaccinated (Without Booster),06/1/2022|ICU
2-Jun-22,0.17,ICU,Fully Vaccinated (Without Booster),06/2/2022|ICU
3-Jun-22,0.14,ICU,Fully Vaccinated (Without Booster),06/3/2022|ICU
4-Jun-22,0.1,ICU,Fully Vaccinated (Without Booster),06/4/2022|ICU
5-Jun-22,0.07,ICU,Fully Vaccinated (Without Booster),06/5/2022|ICU
6-Jun-22,0.03,ICU,Fully Vaccinated (Without Booster),06/6/2022|ICU
7-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/7/2022|ICU
8-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/8/2022|ICU
9-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/9/2022|ICU
10-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/10/2022|ICU
11-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/11/2022|ICU
12-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/12/2022|ICU
13-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/13/2022|ICU
14-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/14/2022|ICU
15-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/15/2022|ICU
16-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/16/2022|ICU
17-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/17/2022|ICU
18-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/18/2022|ICU
19-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/19/2022|ICU
16-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/16/2022|Deceased (based on date of death)
17-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/17/2022|Deceased (based on date of death)
18-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/18/2022|Deceased (based on date of death)
19-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/19/2022|Deceased (based on date of death)
20-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/20/2022|Deceased (based on date of death)
21-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/21/2022|Deceased (based on date of death)
22-Jun-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/22/2022|Deceased (based on date of death)
23-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/23/2022|Deceased (based on date of death)
24-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/24/2022|Deceased (based on date of death)
25-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/25/2022|Deceased (based on date of death)
26-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/26/2022|Deceased (based on date of death)
27-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/27/2022|Deceased (based on date of death)
28-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/28/2022|Deceased (based on date of death)
29-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/29/2022|Deceased (based on date of death)
30-Jun-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),06/30/2022|Deceased (based on date of death)
1-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/1/2022|Deceased (based on date of death)
2-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/2/2022|Deceased (based on date of death)
3-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/3/2022|Deceased (based on date of death)
4-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/4/2022|Deceased (based on date of death)
5-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/5/2022|Deceased (based on date of death)
20-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/20/2022|ICU
21-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/21/2022|ICU
22-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/22/2022|ICU
23-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/23/2022|ICU
24-Jun-22,0,ICU,Fully Vaccinated (Without Booster),06/24/2022|ICU
25-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/25/2022|ICU
26-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/26/2022|ICU
27-Jun-22,0.02,ICU,Fully Vaccinated (Without Booster),06/27/2022|ICU
28-Jun-22,0.04,ICU,Fully Vaccinated (Without Booster),06/28/2022|ICU
29-Jun-22,0.05,ICU,Fully Vaccinated (Without Booster),06/29/2022|ICU
30-Jun-22,0.11,ICU,Fully Vaccinated (Without Booster),06/30/2022|ICU
1-Jul-22,0.16,ICU,Fully Vaccinated (Without Booster),07/1/2022|ICU
2-Jul-22,0.18,ICU,Fully Vaccinated (Without Booster),07/2/2022|ICU
3-Jul-22,0.2,ICU,Fully Vaccinated (Without Booster),07/3/2022|ICU
4-Jul-22,0.25,ICU,Fully Vaccinated (Without Booster),07/4/2022|ICU
5-Jul-22,0.25,ICU,Fully Vaccinated (Without Booster),07/5/2022|ICU
4-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/4/2022|Deceased (based on date of death)
5-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/5/2022|Deceased (based on date of death)
6-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/6/2022|Deceased (based on date of death)
7-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/7/2022|Deceased (based on date of death)
8-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/8/2022|Deceased (based on date of death)
9-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/9/2022|Deceased (based on date of death)
10-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/10/2022|Deceased (based on date of death)
11-Jul-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/11/2022|Deceased (based on date of death)
12-Jul-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/12/2022|Deceased (based on date of death)
13-Jul-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/13/2022|Deceased (based on date of death)
14-Jul-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/14/2022|Deceased (based on date of death)
15-Jul-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/15/2022|Deceased (based on date of death)
16-Jul-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/16/2022|Deceased (based on date of death)
17-Jul-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/17/2022|Deceased (based on date of death)
18-Jul-22,0.11,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/18/2022|Deceased (based on date of death)
19-Jul-22,0.13,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/19/2022|Deceased (based on date of death)
20-Jul-22,0.13,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/20/2022|Deceased (based on date of death)
21-Jul-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/21/2022|Deceased (based on date of death)
22-Jul-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/22/2022|Deceased (based on date of death)
23-Jul-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/23/2022|Deceased (based on date of death)
24-Jul-22,0.08,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/24/2022|Deceased (based on date of death)
25-Jul-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/25/2022|Deceased (based on date of death)
26-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/26/2022|Deceased (based on date of death)
27-Jul-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),07/27/2022|Deceased (based on date of death)
6-Jul-22,0.25,ICU,Fully Vaccinated (Without Booster),07/6/2022|ICU
7-Jul-22,0.21,ICU,Fully Vaccinated (Without Booster),07/7/2022|ICU
8-Jul-22,0.18,ICU,Fully Vaccinated (Without Booster),07/8/2022|ICU
9-Jul-22,0.18,ICU,Fully Vaccinated (Without Booster),07/9/2022|ICU
10-Jul-22,0.18,ICU,Fully Vaccinated (Without Booster),07/10/2022|ICU
11-Jul-22,0.14,ICU,Fully Vaccinated (Without Booster),07/11/2022|ICU
12-Jul-22,0.14,ICU,Fully Vaccinated (Without Booster),07/12/2022|ICU
13-Jul-22,0.14,ICU,Fully Vaccinated (Without Booster),07/13/2022|ICU
14-Jul-22,0.16,ICU,Fully Vaccinated (Without Booster),07/14/2022|ICU
15-Jul-22,0.17,ICU,Fully Vaccinated (Without Booster),07/15/2022|ICU
16-Jul-22,0.15,ICU,Fully Vaccinated (Without Booster),07/16/2022|ICU
17-Jul-22,0.15,ICU,Fully Vaccinated (Without Booster),07/17/2022|ICU
18-Jul-22,0.15,ICU,Fully Vaccinated (Without Booster),07/18/2022|ICU
19-Jul-22,0.13,ICU,Fully Vaccinated (Without Booster),07/19/2022|ICU
20-Jul-22,0.13,ICU,Fully Vaccinated (Without Booster),07/20/2022|ICU
21-Jul-22,0.11,ICU,Fully Vaccinated (Without Booster),07/21/2022|ICU
